A001 : A1 ; ge-0/0/0
A002 : A1 ; ge-0/0/1
A003 : A1 ; ge-0/0/2
A004 : A1 ; ge-0/0/3
A005 : A1 ; ge-0/0/4
A006 : A1 ; ge-0/0/5
A007 : A1 ; ge-0/0/6
A008 : A1 ; ge-0/0/7
A009 : A1 ; ge-0/0/8
A010 : A1 ; ge-0/0/9
A011 : A1 ; ge-0/0/10
A012 : A1 ; ge-0/0/11
A101 : A1 ; ge-0/0/12
A102 : A1 ; ge-0/0/13
A103 : A1 ; ge-0/0/14
A104 : A1 ; ge-0/0/15
A105 : A1 ; ge-0/0/16
A106 : A1 ; ge-0/0/17
A107 : A1 ; ge-0/0/18
A108 : A1 ; ge-0/0/19
A109 : A1 ; ge-0/0/20
A110 : A1 ; ge-0/0/21
A111 : A1 ; ge-0/0/22
A112 : A1 ; ge-0/0/23
A113 : A1 ; ge-0/0/24
A201 : A1 ; ge-0/0/25
A202 : A1 ; ge-0/0/26
A203 : A1 ; ge-0/0/27
A204 : A1 ; ge-0/0/28
A205 : A1 ; ge-0/0/29
A206 : A1 ; ge-0/0/30
A207 : A1 ; ge-0/0/31
A208 : A1 ; ge-0/0/32
A209 : A1 ; ge-0/0/33
A210 : A1 ; ge-0/0/34
A211 : A1 ; ge-0/0/35
A212 : A1 ; ge-0/0/36
A213 : A1 ; ge-0/0/37
A301 : A1 ; ge-0/0/38
A302 : A1 ; ge-0/0/39
A303 : A1 ; ge-0/0/40
A304 : A1 ; ge-0/0/41
A305 : A1 ; ge-0/0/42
A306 : A1 ; ge-0/0/43
A307 : A1 ; ge-0/0/44
A308 : A1 ; ge-0/0/45
A309 : A2 ; ge-0/0/0
A310 : A2 ; ge-0/0/1
A311 : A2 ; ge-0/0/2
A312 : A2 ; ge-0/0/3
A313 : A2 ; ge-0/0/4
B001 : B1 ; ge-0/0/0
B002 : B1 ; ge-0/0/1
B003 : B1 ; ge-0/0/2
B004 : B1 ; ge-0/0/3
B005 : B1 ; ge-0/0/4
B006 : B1 ; ge-0/0/5
B007 : B1 ; ge-0/0/6
B008 : B1 ; ge-0/0/7
B009 : B1 ; ge-0/0/8
B101 : B1 ; ge-0/0/9
B102 : B1 ; ge-0/0/10
B103 : B1 ; ge-0/0/11
B104 : B1 ; ge-0/0/12
B105 : B1 ; ge-0/0/13
B106 : B1 ; ge-0/0/14
B107 : B1 ; ge-0/0/15
B108 : B1 ; ge-0/0/16
B109 : B1 ; ge-0/0/17
B110 : B1 ; ge-0/0/18
B111 : B1 ; ge-0/0/19
B112 : B1 ; ge-0/0/20
B113 : B1 ; ge-0/0/21
B201 : B1 ; ge-0/0/22
